2020/03/30 17:34:51 [error] 6#6: *2 FastCGI sent in stderr: "PHP message: 2020-03-30T17:34:51+00:00 [critical] Uncaught Exception: Expected to find class "App\DataProviders\UserDataProvider" in file "/var/www/symfony/src/DataProviders/UserDataProvider.php" while importing services from resource "../src/*", but it was not found! Check the namespace prefix used with the resource in /var/www/symfony/config/services.yaml (which is loaded in resource "/var/www/symfony/config/services.yaml")" while reading upstream, client: 172.18.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:8080"
2020/03/30 17:38:57 [error] 6#6: *5 FastCGI sent in stderr: "PHP message: 2020-03-30T17:38:57+00:00 [critical] Uncaught Exception: Unrecognized option "verion" under "api_platform". Did you mean "version"?" while reading upstream, client: 172.18.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:8080"
2020/03/31 13:45:21 [error] 6#6: *5 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.19.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8080"
2020/03/31 13:45:21 [error] 6#6: *5 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.19.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:8080", referrer: "http://localhost:8080/"
2020/03/31 15:11:23 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:11:31 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1 HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:11:36 [error] 6#6: *5 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/products HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:12:32 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /home HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:13:20 [error] 6#6: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1 HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:13:25 [error] 6#6: *14 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/products HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:15:12 [error] 6#6: *17 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/docs HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:26:17 [error] 6#6: *23 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/docs HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:33:40 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/docs HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:33:47 [error] 6#6: *4 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:33:51 [error] 6#6: *4 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1 HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:33:55 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/products HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:36:20 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/products HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:36:26 [error] 6#6: *4 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/docs HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:56:53 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET /api/v1/docs HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
2020/03/31 15:57:22 [error] 6#6: *5 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.3:9000", host: "localhost:8080"
